id,region,spp,bandNumber,enc,date,mass,wing,tl,age,sex
g435-3576h,Atlanta,NOCA,2641-63316,B,2014-05-06,36.7,92,100,AHY,M
c703-3173x,Atlanta,NOCA,2641-63362,B,2014-06-12,40.4,93,98,SY,M
b264-7018g,Atlanta,CACH,2710-53995,B,2015-04-21,9.7,60,50,AHY,M
y107-5673o,Atlanta,AMRO,1352-27606,B,2015-04-21,80.1,130,97,AHY,F
w113-8447n,Atlanta,AMRO,1352-27609,B,2015-04-26,73.8,130,96,AHY,M
f364-6694j,Atlanta,NOCA,2641-63899,B,2015-04-26,42.1,86,100,AHY,F
m960-6549h,Atlanta,NOCA,2641-63900,B,2015-04-26,42.7,92,102,AHY,F
e424-8770v,Atlanta,AMRO,1352-27610,B,2015-04-26,72.7,130,97,AHY,F
k126-5246c,Atlanta,AMRO,1352-27614,B,2015-04-27,75,120,87,AHY,F
j492-4323t,Atlanta,GRCA,2657-47401,B,2015-04-27,38.3,87,90,AHY,M
j520-6966c,Atlanta,GRCA,2657-47402,B,2015-04-27,32.6,90,94,AHY,M
f842-2266b,Atlanta,NOCA,2651-47398,B,2015-04-28,47,95,94,AHY,F
w214-7838z,Atlanta,NOCA,2651-47400,B,2015-04-28,40.4,92,101,AHY,M
j550-7585q,Atlanta,NOCA,2651-47397,B,2015-04-28,42.6,90,100,AHY,F
c999-2923h,Atlanta,NOCA,2651-47396,B,2015-04-28,38.5,88,92,AHY,F
a204-9206d,Atlanta,NOCA,2641-63393,R,2015-04-28,40.3,92,101,AHY,F
b764-5255i,Atlanta,CACH,2710-53997,B,2015-04-30,8.8,52,49,AHY,F
e618-6927o,Atlanta,CACH,2710-53998,B,2015-04-30,8.5,58,57,AHY,F
o328-8086c,Atlanta,NOCA,1352-27613,B,2015-04-30,43.2,95,92,AHY,F
d967-4587b,Atlanta,NOCA,2651-47403,B,2015-04-30,38.6,87,96,AHY,F
w194-2593e,Atlanta,CACH,2750-41601,B,2015-04-30,9.7,64,52,AHY,M
c745-9530g,Atlanta,CACH,2750-41602,B,2015-04-30,9.6,63,55,AHY,F
z245-7007j,Atlanta,CACH,2750-41603,B,2015-04-30,8.4,58,49,AHY,F
r356-5264b,Atlanta,CACH,2750-41604,B,2015-04-30,9.2,60,52,AHY,M
z754-5139v,Atlanta,AMRO,1352-27615,B,2015-05-01,70,121,92,AHY,F
t572-2781q,Atlanta,NOCA,2641-63896,B,2015-05-02,35.8,90,97,AHY,M
q387-2835n,Atlanta,NOCA,2651-47405,B,2015-05-02,39.9,91,93,AHY,F
z322-5051p,Atlanta,AMRO,1342-16703,B,2015-05-05,71.5,126,95,AHY,M
w954-5845p,Atlanta,CACH,2750-41606,B,2015-05-06,9.6,61,52,AHY,M
b554-9549t,Atlanta,CACH,2750-41607,B,2015-05-06,9.8,59,51,AHY,M
k552-8285z,Atlanta,CACH,2750-41608,B,2015-05-06,8.8,59,50,AHY,F
a894-1255z,Atlanta,NOCA,2651-47395,B,2015-05-06,42.5,92,98,AHY,F
p794-3376g,Atlanta,NOCA,2651-47394,B,2015-05-07,40,92,97,AHY,F
h952-6370e,Atlanta,CACH,2750-41609,B,2015-05-07,8.3,59,50,AHY,F
e338-2440l,Atlanta,CACH,2750-41610,B,2015-05-07,8.7,61,52,AHY,M
q733-1261v,Atlanta,NOCA,2651-47393,B,2015-05-07,37.9,89,91,AHY,F
q201-4751q,Atlanta,NOCA,2641-63316,R,2015-05-11,36.2,98,96,AHY,M
e377-1726d,Atlanta,CACH,2750-41706,B,2015-05-15,9,55,45,AHY,F
q124-5481p,Atlanta,NOCA,2651-47423,B,2015-05-16,42.2,86,87,AHY,F
c709-5996m,Atlanta,NOCA,2651-47424,B,2015-05-16,42.5,93,101,AHY,M
