site,date,species,count
apple,2009-05-28,amcr,2
apple,2009-05-28,cach,1
apple,2009-05-28,carw,1
apple,2009-05-28,dowo,1
apple,2009-05-28,eato,2
apple,2009-05-28,howr,1
apple,2009-05-28,noca,3
apple,2010-07-20,amgo,2
apple,2010-07-20,cach,2
apple,2010-07-20,tuti,2
apricot,2009-05-28,amro,4
apricot,2009-05-28,bhco,1
apricot,2009-05-28,carw,3
apricot,2009-05-28,dowo,1
apricot,2009-05-28,grca,2
apricot,2009-05-28,hosp,2
apricot,2009-05-28,noca,3
apricot,2009-05-28,ysfl,1
apricot,2010-06-14,amgo,1
apricot,2010-06-14,amro,1
apricot,2010-06-14,grca,1
apricot,2010-06-14,noca,2
apricot,2010-06-14,sosp,1
apricot,2010-06-14,wbnu,1
apricot,2012-05-17,amro,2
apricot,2012-05-17,grca,2
apricot,2012-05-17,modo,1
apricot,2012-05-17,noca,2
apricot,2012-05-17,rbwo,1
apricot,2012-05-17,sosp,1
apricot,2012-05-17,wbnu,1
avocado,2009-06-15,amro,2
avocado,2009-06-15,grca,1
avocado,2009-06-15,hofi,1
avocado,2009-06-15,hosp,4
avocado,2009-06-15,howr,3
avocado,2009-06-15,modo,1
avocado,2009-06-15,noca,5
avocado,2009-06-15,sosp,4
avocado,2010-05-20,amro,2
avocado,2010-05-20,eust,2
avocado,2010-05-20,grca,1
avocado,2010-05-20,howr,1
avocado,2010-05-20,noca,1
avocado,2010-05-20,nomo,4
avocado,2010-05-20,sosp,2
avocado,2010-05-20,ysfl,1
avocado,2012-05-22,amro,5
avocado,2012-05-22,cogr,2
avocado,2012-05-22,eust,1
avocado,2012-05-22,grca,3
avocado,2012-05-22,hofi,1
avocado,2012-05-22,hosp,4
avocado,2012-05-22,howr,1
avocado,2012-05-22,modo,1
avocado,2012-05-22,noca,2
avocado,2012-05-22,nomo,1
banana,2009-06-12,amro,3
banana,2009-06-12,bggn,1
banana,2009-06-12,blja,2
banana,2009-06-12,cach,2
banana,2009-06-12,chsw,0
banana,2009-06-12,eust,1
banana,2009-06-12,howr,1
banana,2009-06-12,noca,2
banana,2009-06-12,nomo,1
banana,2009-06-12,tuti,2
banana,2009-06-12,wbnu,1
banana,2010-05-28,amro,3
banana,2010-05-28,bhco,1
banana,2010-05-28,cach,1
banana,2010-05-28,cogr,1
banana,2010-05-28,hofi,1
banana,2010-05-28,modo,1
banana,2010-05-28,noca,2
banana,2010-05-28,rbwo,1
banana,2010-05-28,revi,1
banana,2010-05-28,tuti,1
banana,2012-07-03,amro,4
banana,2012-07-03,blja,3
banana,2012-07-03,carw,1
banana,2012-07-03,howr,1
banana,2012-07-03,modo,2
banana,2012-07-03,noca,2
banana,2012-07-03,piwo,1
banana,2012-07-03,revi,1
banana,2012-07-03,tuti,2
banana,2012-07-03,wbnu,1
bell_pepper,2009-07-13,amgo,2
bell_pepper,2009-07-13,amro,2
bell_pepper,2009-07-13,carw,2
bell_pepper,2009-07-13,cogr,1
bell_pepper,2009-07-13,eabl,1
bell_pepper,2009-07-13,hofi,9
bell_pepper,2009-07-13,howr,1
bell_pepper,2009-07-13,noca,5
bell_pepper,2009-07-13,tuti,1
bell_pepper,2010-07-02,cach,2
bell_pepper,2010-07-02,carw,1
bell_pepper,2010-07-02,cedw,2
bell_pepper,2010-07-02,cogr,1
bell_pepper,2010-07-02,howr,3
bell_pepper,2010-07-02,noca,3
bell_pepper,2012-06-04,amgo,3
bell_pepper,2012-06-04,blja,1
bell_pepper,2012-06-04,eabl,2
bell_pepper,2012-06-04,hofi,1
bell_pepper,2012-06-04,howr,2
bell_pepper,2012-06-04,noca,4
bell_pepper,2012-06-04,rbwo,1
